id,name
2409,ABARTH
323,AC
1024,ACM
2799,AIWAYS
416,AIXAM
83,ALFA ROMEO
2771,ALKÃˆ
160,ALPINA-BMW
2780,ALPINE
700,AMG
2386,ANDORIA MOTOR
333,APAL
2345,ARIEL
180,ARO
1421,ASIA MOTORS
74,ASTON MARTIN
161,AUDI
80,AUSTIN ROVER
35,AUTOBIANCHI
515,AUVERLAND
923,BEDFORD
1504,BELLIER
70,BENTLEY
49,BERTONE
1362,BIAGINI
2772,BIRO'
85,BMW
2326,BONETTI
2176,BOXEL
2313,BREMACH
2738,BSI
2350,BUCHER-SCHORLING
1522,BUGATTI
81,BUICK
76,CADILLAC
2273,CARLETTI
250,CASALINI
277,CATERHAM
1539,CHATENET
84,CHEVROLET
87,CHRYSLER
91,CITROEN
1859,CITYCAR
2309,CMC (CARLETTI)
2737,CMI
2320,CO.VE.IN.
2322,COMAI
2405,CORVETTE
2782,CUPRA
18,DACIA
577,DAEWOO
2363,DAF
104,DAIHATSU
106,DAIMLER
2779,DALLARA
1058,DE LA CHAPELLE
114,DE TOMASO
2801,DFSK
267,DODGE
193,DONKERVOORT
2717,DR
2775,DS
2792,DUCATI ENERGIA
2311,EFFEDI
1599,EPOCAR
804,EVANTE
2791,EVO
2297,FEAB
13,FERRARI
8,FIAT
2752,FISKER
2367,FLEUR DE LYS
39,FORD
2369,FRESIA
128,FSO
2740,GAC GONOW
2705,GAZ AUTOMOBILE
2303,GEM
196,GINETTA
2718,GIOTTI VICTORIA
2710,GIOTTILINE
2790,GOUPIL
2715,GREAT WALL MOTOR
2275,GRECAV
2706,GREEN COMPANY
2786,HAVAL
2768,HEIBAO ITALIA
147,HONDA
2398,HUMMER
122,HYUNDAI
2769,I MOVING
2736,I.CO.VE.CO.
776,IATO
2800,INEOS
1970,INFINITI
120,INNOCENTI
2407,INTRALL POLSKA
2285,ISO
146,ISUZU
2709,ITALCAR
2318,IVECO
110,JAGUAR
422,JDM
144,JEEP
2716,KATAY
746,KIA
433,LADA
135,LAMBORGHINI
34,LANCIA
140,LAND ROVER
2333,LEOMAR
1962,LEXUS
254,LIGIER
134,LOTUS
651,LUAZ (VOLIN)
2796,LYNK&CO
657,MAHINDRA
2759,MAN
495,MARCOS
2745,MARTIN MOTORS
848,MARUTI
117,MASERATI
2793,MAXUS
2359,MAYBACH
145,MAZDA
2776,MAZZANTI
1960,MAZZIERI
2754,MCLAREN
1938,MEGA
2712,MELEX
33,MERCEDES
2713,META
1945,MG
2767,MIA ELECTRIC
926,MICRO VETT
766,MICROCAR
598,MIDDLEBRIDGE
2781,MILITEM
2773,MINAUTO
2222,MINI
148,MITSUBISHI
2743,MITSUBISHI FUSO
2708,MITSUBISHI TRUCKS
2092,MOKE
109,MORETTI
136,MORGAN
2352,MORONI
2785,MPM MOTORS
2324,MULTICAR
2766,MUSTANG
2794,NANOCAR
149,NISSAN
95,NISSAN SPAGNA
1117,NOBLE
2753,NYSA
2382,NYSA MOTOR
2336,O.ZETA CLES
113,OLTCIT
901,OMAI
20,OPEL
2797,ORCA
717,OTO MELARA
772,P.G.O.
2288,PAGANI
243,PANTHER
151,PEUGEOT
941,PIAGGIO
137,PONTIAC
27,PORSCHE
240,PUMA ITALIA
2300,QVALE
436,RAYTON FISSORE
62,RENAULT
2392,RENAULT TRUCKS
2316,RENAULT V.I.
86,ROLLS ROYCE
2330,ROMANITAL
2774,ROMEO FERRARIS
154,ROVER
153,SAAB
2408,SALEEN
255,SANTANA
2266,SAVEL-ERAD
2341,SCAM
53,SEAT
2403,SECA
2277,SECMA
2795,SERES
2719,SHUANGHUAN
94,SKODA
2259,SMART
979,SSANGYONG
2394,START LAB
155,SUBARU
156,SUZUKI
397,TALBOT
2269,TASSO
2130,TATA
2770,TAZZARI EV
2749,TESLA
1036,TORPEDO
2293,TOWN LIFE
103,TOYOTA
225,TVR
224,UAZ
222,UMM
2291,VALENTINI
2755,VEM
507,VENTURI
216,VOLGA
101,VOLKSWAGEN
173,VOLKSWAGEN MESSICO
98,VOLVO
2788,XEV
2777,XINDAYANG
892,YUGO
197,ZAZ
2798,ZD
2339,ZK
